  SEQUENCE:
interface_delta_X ligand_rms_no_super_X description
-23.606 1.053 c18_33_c18_0539_0001
-23.432 1.055 c18_33_c18_0454_0001
-23.400 1.125 c18_22_c18_0610_0001
-23.361 1.659 c18_88_c18_0126_0001
-23.330 1.058 c18_33_c18_1125_0001
-23.296 1.872 c18_77_c18_0617_0001
-23.174 1.053 c18_33_c18_0352_0001
-23.159 1.714 c18_88_c18_0071_0001
-23.072 1.056 c18_33_c18_0597_0001
-23.037 1.066 c18_33_c18_0163_0001
-23.026 0.979 c18_33_c18_0843_0001
-23.007 1.084 c18_11_c18_1174_0001
-22.994 1.047 c18_33_c18_0282_0001
-22.974 1.057 c18_33_c18_0044_0001
-22.946 1.411 c18_11_c18_0240_0001
-22.940 1.850 c18_88_c18_1122_0001
-22.931 1.030 c18_44_c18_0211_0001
-22.882 0.977 c18_33_c18_0879_0001
-22.871 0.993 c18_22_c18_0177_0001
-22.754 1.021 c18_33_c18_0564_0001
-22.692 0.943 c18_33_c18_0209_0001
-22.673 0.951 c18_44_c18_0015_0001
-22.658 1.899 c18_88_c18_0582_0001
-22.652 1.044 c18_33_c18_1030_0001
-22.646 0.958 c18_33_c18_0982_0001
-22.643 0.968 c18_33_c18_1232_0001
-22.641 1.322 c18_22_c18_0506_0001
-22.608 1.253 c18_88_c18_0402_0001
-22.594 1.815 c18_88_c18_0038_0001
-22.573 1.001 c18_22_c18_0449_0001
-22.572 2.004 c18_11_c18_0412_0001
-22.565 1.488 c18_88_c18_0677_0001
-22.538 2.912 c18_33_c18_0100_0001
-22.502 1.011 c18_44_c18_0425_0001
-22.499 1.408 c18_22_c18_1107_0001
-22.428 1.190 c18_33_c18_0469_0001
-22.422 1.024 c18_44_c18_1087_0001
-22.419 0.963 c18_33_c18_0483_0001
-22.402 1.219 c18_33_c18_1236_0001
-22.353 1.090 c18_33_c18_0925_0001
-22.350 1.750 c18_22_c18_0363_0001
-22.339 1.812 c18_88_c18_0533_0001
-22.330 1.638 c18_66_c18_0064_0001
-22.265 0.947 c18_44_c18_0049_0001
-22.256 2.261 c18_11_c18_0171_0001
